lang,tokenizer,lines,tokens,tokens_per_sentence,words,bytes,chars,graphemes,tokens_per_word,tokens_per_byte,tokens_per_char,tokens_per_grapheme
eng,gpt2,250,6551,26.204,5269,31479,31444,31444,1.2433099259821598,0.2081069919628959,0.20833863376160794,0.20833863376160794
hin,gpt2,250,47368,189.472,6171,79989,31268,20692,7.675903419218927,0.5921814249459301,1.5149034156325956,2.289193891358979
kan,gpt2,250,86555,346.22,3912,88653,32850,21336,22.125511247443765,0.9763346982053625,2.634855403348554,4.0567585301837275
tam,gpt2,250,97850,391.4,4021,98527,36342,23468,24.33474260134295,0.993128787032996,2.6924770238291784,4.169507414351457
eng,hf:xlm-roberta-base,250,7385,29.54,5269,31479,31444,31444,1.4015942304042512,0.23460084500778297,0.2348619768477293,0.2348619768477293
hin,hf:xlm-roberta-base,250,9262,37.048,6171,79989,31268,20692,1.500891265597148,0.1157909212516721,0.29621338109249074,0.44761260390489077
kan,hf:xlm-roberta-base,250,10005,40.02,3912,88653,32850,21336,2.557515337423313,0.11285574092247301,0.3045662100456621,0.46892575928009
tam,hf:xlm-roberta-base,250,9836,39.344,4021,98527,36342,23468,2.4461576722208407,0.09983050331381246,0.2706510373672335,0.41912391341401056
