lang,tokenizer,lines,tokens,tokens_per_sentence,words,bytes,chars,graphemes,tokens_per_word,tokens_per_byte,tokens_per_char,tokens_per_grapheme
eng,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\english_only.model,250,25226,100.904,5269,31479,31444,31444,4.787625735433669,0.8013596365831189,0.802251621931052,0.802251621931052
hin,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\english_only.model,250,12613,50.452,6171,79989,31268,20692,2.0439150866958355,0.15768418157496655,0.4033836510170142,0.6095592499516721
kan,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\english_only.model,250,8453,33.812,3912,88653,32850,21336,2.1607873210633946,0.09534928316018634,0.25732115677321155,0.3961848518935133
tam,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\english_only.model,250,8524,34.096,4021,98527,36342,23468,2.1198706789355883,0.08651435647081511,0.23454955698640692,0.3632179989773308
eng,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\multilingual.model,250,29249,116.996,5269,31479,31444,31444,5.551148225469729,0.9291591219543187,0.9301933596234576,0.9301933596234576
hin,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\multilingual.model,250,29657,118.628,6171,79989,31268,20692,4.805866148112138,0.37076347997849707,0.9484776768581297,1.4332592306205296
kan,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\multilingual.model,250,31472,125.888,3912,88653,32850,21336,8.044989775051125,0.35500208678781314,0.9580517503805175,1.4750656167979002
tam,spm:H:\PROJECTS\ADVANCE\flamai-ai-assignment-harish\partA\analysis\models\multilingual.model,250,32869,131.476,4021,98527,36342,23468,8.174334742601342,0.3336039867244512,0.9044356392053272,1.4005880347707516
